log10_mh_msun,log10_epsilon_lower,log10_epsilon_mid,log10_epsilon_upper,log10_mstar_over_mh_lower,log10_mstar_over_mh_mid,log10_mstar_over_mh_upper
9.711784,-4.576716,-3.257857,-1.938998,-5.353999,-4.035140,-2.716281
9.716770,-4.567718,-3.251987,-1.936255,-5.345002,-4.029270,-2.713538
9.721756,-4.558708,-3.246106,-1.933504,-5.335991,-4.023389,-2.710787
9.726743,-4.549685,-3.240215,-1.930744,-5.326969,-4.017498,-2.708028
9.731729,-4.540649,-3.234313,-1.927976,-5.317933,-4.011596,-2.705260
9.736715,-4.531601,-3.228400,-1.925200,-5.308885,-4.005684,-2.702483
9.741701,-4.522541,-3.222478,-1.922415,-5.299824,-3.999761,-2.699698
9.746688,-4.513468,-3.216545,-1.919621,-5.290752,-3.993828,-2.696905
9.751674,-4.504383,-3.210601,-1.916820,-5.281667,-3.987885,-2.694103
9.756660,-4.495286,-3.204648,-1.914010,-5.272570,-3.981932,-2.691293
9.761647,-4.486177,-3.198684,-1.911191,-5.263461,-3.975968,-2.688475
9.766633,-4.477056,-3.192710,-1.908364,-5.254340,-3.969994,-2.685648
9.771619,-4.467924,-3.186727,-1.905529,-5.245207,-3.964010,-2.682813
9.776606,-4.458780,-3.180733,-1.902686,-5.236063,-3.958016,-2.679969
9.781592,-4.449624,-3.174729,-1.899834,-5.226907,-3.952012,-2.677117
9.786578,-4.440456,-3.168715,-1.896973,-5.217740,-3.945998,-2.674257
9.791564,-4.431277,-3.162691,-1.894105,-5.208561,-3.939975,-2.671388
9.796551,-4.422087,-3.156658,-1.891228,-5.199371,-3.933941,-2.668511
9.801537,-4.412886,-3.150614,-1.888342,-5.190170,-3.927898,-2.665626
9.806523,-4.403674,-3.144561,-1.885449,-5.180957,-3.921845,-2.662732
9.811510,-4.394451,-3.138499,-1.882547,-5.171734,-3.915782,-2.659830
9.816496,-4.385216,-3.132426,-1.879636,-5.162500,-3.909710,-2.656920
9.821482,-4.375971,-3.126344,-1.876717,-5.153255,-3.903628,-2.654001
9.826468,-4.366716,-3.120253,-1.873790,-5.143999,-3.897537,-2.651074
9.831455,-4.357450,-3.114152,-1.870855,-5.134733,-3.891436,-2.648138
9.836441,-4.348173,-3.108042,-1.867911,-5.125456,-3.885326,-2.645195
9.841427,-4.338886,-3.101923,-1.864959,-5.116169,-3.879206,-2.642243
9.846414,-4.329589,-3.095794,-1.861999,-5.106872,-3.873077,-2.639282
9.851400,-4.320281,-3.089656,-1.859030,-5.097565,-3.866939,-2.636314
9.856386,-4.310963,-3.083508,-1.856053,-5.088247,-3.860792,-2.633337
9.861373,-4.301636,-3.077352,-1.853068,-5.078919,-3.854635,-2.630351
9.866359,-4.292298,-3.071186,-1.850074,-5.069582,-3.848470,-2.627358
9.871345,-4.282951,-3.065012,-1.847072,-5.060235,-3.842295,-2.624356
9.876331,-4.273594,-3.058828,-1.844062,-5.050878,-3.836112,-2.621346
9.881318,-4.264228,-3.052636,-1.841044,-5.041511,-3.829919,-2.618327
9.886304,-4.254852,-3.046435,-1.838017,-5.032135,-3.823718,-2.615301
9.891290,-4.245467,-3.040224,-1.834982,-5.022750,-3.817508,-2.612266
9.896277,-4.236072,-3.034005,-1.831939,-5.013356,-3.811289,-2.609222
9.901263,-4.226668,-3.027778,-1.828887,-5.003952,-3.805061,-2.606171
9.906249,-4.217256,-3.021541,-1.825827,-4.994539,-3.798825,-2.603111
9.911236,-4.207834,-3.015297,-1.822759,-4.985117,-3.792580,-2.600043
9.916222,-4.198403,-3.009043,-1.819683,-4.975687,-3.786327,-2.596967
9.921208,-4.188964,-3.002781,-1.816598,-4.966247,-3.780065,-2.593882
9.926194,-4.179516,-2.996511,-1.813506,-4.956799,-3.773794,-2.590789
9.931181,-4.170059,-2.990232,-1.810404,-4.947343,-3.767515,-2.587688
9.936167,-4.160594,-2.983944,-1.807295,-4.937877,-3.761228,-2.584579
9.941153,-4.151120,-2.977649,-1.804178,-4.928404,-3.754933,-2.581461
9.946140,-4.141639,-2.971345,-1.801052,-4.918922,-3.748629,-2.578335
9.951126,-4.132149,-2.965033,-1.797918,-4.909432,-3.742317,-2.575201
9.956112,-4.122651,-2.958713,-1.794775,-4.899934,-3.735997,-2.572059
9.961099,-4.113145,-2.952385,-1.791625,-4.890428,-3.729668,-2.568908
9.966085,-4.103631,-2.946049,-1.788466,-4.880915,-3.723332,-2.565750
9.971071,-4.094110,-2.939704,-1.785299,-4.871393,-3.716988,-2.562583
9.976057,-4.084580,-2.933352,-1.782124,-4.861864,-3.710636,-2.559408
9.981044,-4.075043,-2.926992,-1.778941,-4.852327,-3.704276,-2.556224
9.986030,-4.065499,-2.920624,-1.775749,-4.842783,-3.697908,-2.553033
9.991016,-4.055948,-2.914249,-1.772550,-4.833231,-3.691532,-2.549833
9.996003,-4.046389,-2.907865,-1.769342,-4.823672,-3.685149,-2.546625
10.000989,-4.036823,-2.901474,-1.766126,-4.814106,-3.678758,-2.543409
10.005975,-4.027250,-2.895075,-1.762901,-4.804533,-3.672359,-2.540185
10.010962,-4.017670,-2.888669,-1.759669,-4.794953,-3.665953,-2.536952
10.015948,-4.008083,-2.882255,-1.756428,-4.785366,-3.659539,-2.533712
10.020934,-3.998489,-2.875834,-1.753179,-4.775773,-3.653118,-2.530463
10.025920,-3.988889,-2.869406,-1.749922,-4.766172,-3.646689,-2.527206
10.030907,-3.979282,-2.862970,-1.746657,-4.756566,-3.640253,-2.523941
10.035893,-3.969669,-2.856526,-1.743384,-4.746952,-3.633810,-2.520667
10.040879,-3.960049,-2.850076,-1.740102,-4.737333,-3.627359,-2.517386
10.045866,-3.950423,-2.843618,-1.736813,-4.727707,-3.620901,-2.514096
10.050852,-3.940791,-2.837153,-1.733515,-4.718075,-3.614436,-2.510798
10.055838,-3.931153,-2.830681,-1.730209,-4.708436,-3.607964,-2.507492
10.060824,-3.921509,-2.824202,-1.726895,-4.698792,-3.601485,-2.504178
10.065811,-3.911859,-2.817716,-1.723573,-4.689142,-3.594999,-2.500856
10.070797,-3.902203,-2.811223,-1.720242,-4.679487,-3.588506,-2.497526
10.075783,-3.892542,-2.804723,-1.716904,-4.669825,-3.582006,-2.494187
10.080770,-3.882875,-2.798216,-1.713557,-4.660158,-3.575500,-2.490841
10.085756,-3.873203,-2.791702,-1.710202,-4.650486,-3.568986,-2.487486
10.090742,-3.863525,-2.785182,-1.706840,-4.640808,-3.562466,-2.484123
10.095729,-3.853842,-2.778655,-1.703469,-4.631126,-3.555939,-2.480752
10.100715,-3.844154,-2.772122,-1.700090,-4.621437,-3.549405,-2.477373
10.105701,-3.834461,-2.765582,-1.696702,-4.611744,-3.542865,-2.473986
10.110687,-3.824763,-2.759035,-1.693307,-4.602046,-3.536318,-2.470591
10.115674,-3.815060,-2.752482,-1.689904,-4.592343,-3.529765,-2.467187
