z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+08	1.63006133	1.80519847	1.71762990	1.708893253865e-04
6.000000	1.000000e+08	1.80519847	1.98033561	1.89276704	1.139262169243e-04
6.000000	1.000000e+08	1.98033561	2.15547276	2.06790419	7.595081128289e-05
6.000000	1.000000e+08	2.15547276	2.33060990	2.24304133	2.088647310279e-04
6.000000	1.000000e+08	2.33060990	2.50574704	2.41817847	1.139262169243e-04
6.000000	1.000000e+08	2.50574704	2.68088418	2.59331561	7.595081128289e-05
6.000000	1.000000e+08	2.68088418	2.85602133	2.76845275	1.898770282072e-05
6.000000	1.000000e+08	2.85602133	3.03115847	2.94358990	7.595081128289e-05
6.000000	1.000000e+08	3.03115847	3.20629561	3.11872704	3.797540564144e-05
6.000000	1.000000e+08	3.20629561	3.38143275	3.29386418	1.898770282072e-05
6.000000	1.000000e+08	3.38143275	3.55656990	3.46900132	0.000000000000e+00
6.000000	1.000000e+08	3.55656990	3.73170704	3.64413847	3.797540564144e-05
6.000000	1.000000e+08	3.73170704	3.90684418	3.81927561	0.000000000000e+00
6.000000	1.000000e+08	3.90684418	4.08198132	3.99441275	0.000000000000e+00
6.000000	1.000000e+08	4.08198132	4.25711846	4.16954989	3.797540564144e-05
6.000000	1.000000e+08	4.25711846	4.43225561	4.34468704	1.898770282072e-05
6.000000	1.000000e+08	4.43225561	4.60739275	4.51982418	1.898770282072e-05
6.000000	1.000000e+08	4.60739275	4.78252989	4.69496132	0.000000000000e+00
6.000000	1.000000e+08	4.78252989	4.95766703	4.87009846	0.000000000000e+00
6.000000	1.000000e+08	4.95766703	5.13280418	5.04523561	0.000000000000e+00
6.000000	1.000000e+08	5.13280418	5.30794132	5.22037275	1.898770282072e-05
6.000000	1.000000e+09	-26.21674431	-26.04160716	-26.12917574	0.000000000000e+00
6.000000	1.000000e+09	-26.04160716	-25.86647002	-25.95403859	0.000000000000e+00
6.000000	1.000000e+09	-25.86647002	-25.69133288	-25.77890145	0.000000000000e+00
6.000000	1.000000e+09	-25.69133288	-25.51619574	-25.60376431	0.000000000000e+00
6.000000	1.000000e+09	-25.51619574	-25.34105859	-25.42862717	0.000000000000e+00
